Source Term	Target Term
peroxyacid	peroxiácido
nitrogenous hydrocarbon	hidrocarburo nitrogenado
thermolysis	descomposición térmica
multi-dimensional chromatography	cromatografía multidimensional
hydrocarbon resin	resina hidrocarbonada
TOF-MS	espectrómetro de masas de tiempo de vuelo
gel electrophoresis	electroforesis en gel
calcium hypochlorite	hipoclorito de calcio
polystyrene	poliestireno
regulated explosives precursor	precursor de explosivos regulado
24-hour flow-proportional composite sample	muestra compuesta proporcional al caudal durante un período de veinticuatro horas
membrane separation	filtración por membrana
progenitor ion	ión precursor
alkyl ester ammonium salt	sal amónica de éster alquílico
photodiode-array detection	DAD
organic phase	fase orgánica
N-nitroso amine	nitrosamina
cofactor	cofactor
X-ray fluorescence spectroscopy	fluorescencia de rayos X
Z	variable de estado
dimethylformaldehyde	dimetilcetona
electroplating	electrodeposición
intensity	intensidad
paraffin	alcano
dry mass	peso seco
originating Union act	acto de la Unión de origen
isostructural compound	compuesto isoestructural
aerobically biodegradable	biodegradable aerobiamente
C-IC	cromatografía de iones de combustión
LSA	baja actividad específica
chlorination	cloración
wood spirits	alcohol de madera
accuracy	exactitud
guanine	guanina
filter press	filtro prensa
washability	lavabilidad
liquid chromatography	cromatografía en fase líquida
constituent	constituyente
dechlorination	decloración
E599	E599
monounsaturated fatty acid	ácido graso monoinsaturado
photodiode array	ordenación de diodos
unintentional trace contaminant	contaminante en trazas no intencionales
transesterification	transesterificación
sugar	azúcar
homopolymer	homopolímero
chlor-alkali cell	célula electrolítica cloro-alkalina
lanthanoids	lantánido
ethylene oxide	óxido de etileno
bridging principle	principio de extrapolación
paper chromatography	cromatografía sobre papel
methylmercury	metilmercurio
methylene diphenyl diisocyanate	diisocianato de metilendifenilo
endothermic reaction	reacción endotérmica
nanoparticle	nanopartícula
action level	umbral de intervención
1,2-diphenylethene	estilbeno
magnesium carbonate hydroxide	subcarbonato de magnesio (ligero o pesado)
unsaturated hydrocarbon	hidrocarburo no saturado
nitrogenase	nitrogenasa
particle number-based distribution	distribución de las partículas en función de su tamaño
osmosis	osmosis
acyclic hydrocarbon	hidrocarburo acíclico
isomerisation	isomerisacion
magnesium hydride	hidruro de magnesio
fractionating column	columna de fraccionamiento
etherification	eterificación
performance criteria	criterio de aptitud
alkylation	alcoilación
dry gas	gas seco
procedural blank	blanco de procedimiento
3,4',5-trihydroxystilbene	resveratrol
multiple reaction monitoring	control de la reacción múltiple
chemiluminescence	quimioluminiscencia
acidic gas	gas ácido
isoprene	isopreno
X	variable de estado neto
business operator	operador económico
glyoxylic acid	ácido glioxílico
fatty acid	ácido graso
matrix effect	efecto matriz
adenosine 5'-monophosphate	adenosina 5'monofosfato
thymidine	timidina
hexose	hexosa
infrared spectrometry	espectrometría infrarroja
carbamate	carbamato
peroxide	peróxido
acrylonitrile butadiene styrene	acrilonitrilo butadieno estireno
calcium hydroxide	cal muerta
ion exchange column	columna de intercambio iónico
MOH	MOH
1,1,2,2-tetrachloroethene	tetracloroetano
aliquot	alícuota
anthranilic acid	ácido antranílico
electroless plating	revestimiento por reacción química
steam distillation	destilación al vapor
process chemical	sustancia química de proceso
HFO	HFO
incremental sample	muestra elemental
polyaddition	poliadición
incurred matrix	matriz real
microcrystalline petroleum wax	cera de petróleo microcristalina
expandable polystyrene	EPS
multi-material multi-layer	compuesto multicapa
fortified sample material	material de muestra enriquecido
distance selling sample	muestra de venta a distancia
treated article	artículo tratado
fragment ion	ion fragmento
error of the first kind	error de tipo I
heteroside	glucósido
foaming	formación de espuma
factorial experiment	experimento factorial
oxygen	oxígeno
per- and polyfluoroalkyl substances	perfluoroalquilos y polifluoroalquilos
crystalline phase	fase cristalina
absorption maximum	máximo de absorción
fluorochemical	compuesto fluorado
powder wetting	humectación
PAA	ácido peracético
anion exchanger	cambiador de aniones
cyclopentane	ciclopentano
fluorescence detection	detección por fluorescencia
extraction with water	extracción con agua
FAP	FAP
1,4-dioxin	1,4-dioxina
magnetic drum	tambor magnético
decompression	descompresión
solvent	disolvente
active site	centro activo
fumigant	fumigante
acetic anhydride	anhídrido acético
bioassay apparent recovery	recuperación aparente del bioensayo
field blank	blanco de campo
creosote	creosota
steam naphtha reforming	reformado con vapor de nafta
glacial acetic acid	ácido acético glacial
hexamethylene tetramine	1,3,5,7-tetraazaadamantano
emulsion breaking	rotura de la emulsión
WOPC	cemento blanco
biochemistry	química biológica
steam methane reforming	reformado con vapor de metano
butylated hydroxyanisole	BHA
phosgenation	fosgenación
nepheline	nefelina
THEE	tert-hexil hexil éter
flocculation	floculación
confirmatory method	método confirmatorio
sampled portion	porción de muestra
magnesite	magnesita
hydrophilic group	grupo hidrófilo
nitric oxide	óxido nítrico
incurred sample	muestra de estudio
glycoside	glicósido
vitrification	vitrificación
lot	lote
degreasing	desengrase
t-distribution	distribución t de Student
covalent bond	enlace covalente
nitritation	nitritación
molecular exclusion chromatography	cromatografía de exclusión por tamaños
fermentation	fermentación microbiana
elute	eluir
magnesium carbonates	carbonatos de magnesio
amount ratio	fracción molar
prussic acid	ácido cianhídrico
melting transition	fusión
atomic nucleus	núcleo atómico
Izod impact test	ensayo de Izod
metalloid	metaloide
ethylene glycol	etilenglicol
atomic mass unit	unidad de masa atómica
1,4-dichlorobenzene	p-diclorobenceno
electrophoresis	electroforesis
LFL	LIE
de-alcoholisation treatment	desalcoholización
non-ionic surface active agent	tensioactivo no iónico
interlaboratory trial	ensayo interlaboratorios
wiped film evaporator	evaporador de lámina delgada de agua
overhead gaseous stream	flujo de purga
mass balance	balance de masa
oleoresin	oleorresinas
quantitative method	método cuantitativo
carbonyl sulphide	oxisulfuro de carbono
high-resolution mass spectrometry	HRMS
TOF mass analyser	analizador de tiempo de vuelo
polymer	polímero
camphor	canfor
oxidation-reduction reaction	reacción de oxidación-reducción
trans,trans-2,4-hexadienoic acid	ácido sórbico
ECICS	Inventario Aduanero Europeo de Substancias Químicas
diagnostic ion	ion de diagnóstico
indicator electrode	electrodo indicador
metabolic pathway	ruta metabólica
reverse osmosis	ósmosis inversa
melamine	melamina
steroid	esteroide
PP	polipropileno
racemic compound	compuesto racémico
coumarin	cumarina
recovery correction	corrección de la recuperación
recovery	recuperación
ionisation	ionización
castor wax	aceite de ricino hidrogenado
nitromethane	nitrometano
polymerisation	polimerización
plate	bandeja
contamination	contaminación alimentaria
disaccharide	disacárido
yttrium oxide	itria
factorial effect	efecto factorial
surfactant	agente surfactante
uncertainty	incertidumbre
boiling reactor	reactor a temperatura de ebullición
water electrolysis	electrolisis del agua
alkylphenol ethoxylate	APEO
bio-based process	proceso de base biológica
Quat	compuesto de amonio cuaternario
UB	límite superior
halide	halogenuro
chemical conversion	conversión química
human biomonitoring data	datos de biovigilancia humana
vacuum distillation	destilación en vacío
enamel paint	esmalte
polychlorinated dibenzodioxin	dibenzo-p-dioxinas policloradas
sillimanite	silimanita
molecular weight	peso molecular
PCB	bifenilos policlorados
cationic surfactant	tensioactivo catiónico
extractable organofluorine-combustion ion chromatography	cromatografía de iones de combustión para la determinación de organoflúor extraíble
ketone	cetona
organotin compound	compuesto orgánico de estaño
immunoassay	inmunoanálisis
cytidine	citidina
bioanalysis	análisis biológico
pyrrolidinedithiocarbamate solution	solución de pirrolidinaditiocarbamato
lindane	lindane
experimental design	diseño experimental
chromatography	cromatografía
repeatability	repetibilidad
2,3,7,8-tetrachlorodibenzo-para-dioxin	2,3,7,8-tetraclorodibenzo-p-dioxina
diphenhydramine	difenhidramina
unsaponifiable matter	insaponificable
matrix	matriz
blue asbestos	crocidolita
nitrogen	ázoe
diethylene triamine pentaacetic acid	DTPA
anion	anión
adenosine disphosphate	5'-difosfato de adenosina
partition chromatography	cromatografía de reparto
field blank procedure	procedimiento de blanco de campo
mineral wax	cera mineral
self-accelerating decomposition temperature	TDAA
emission wavelength	longitud de onda de emisión
molecular ion	ion molecular
arylamine	arilamina
glucose	glucosa
fitness-for-purpose	aptitud para el uso
organometallic substance	compuesto organometálico
