Source Term	Target Term
11-beta-hydroxylase deficiency	Déficit de 11-beta-hidroxilasa
17 ketosteroids urine	17-Cetosteroides en orina
17 ketosteroids urine decreased	17-Cetosteroides disminuidos en orina
17 ketosteroids urine increased	17-Cetosteroides elevados en orina
17 ketosteroids urine normal	17-Cetosteroides normales en orina
17,20-desmolase deficiency	Déficit de 17,20-desmolasa
17-alpha-hydroxylase deficiency	Déficit de 17-alfa-hidroxilasa
20,22-desmolase deficiency	Déficit de 20,22-desmolasa
21-hydroxylase deficiency	Déficit de 21-hidroxilasa
5'nucleotidase increased	5-nucleotidasa elevada
5-alpha-reductase deficiency	Déficit de 5-alfa-reductasa
Abdomen crushing	Aplastamiento del abdomen
Abdominal adhesions	Adherencias abdominales
Abdominal discomfort	Molestia abdominal
Abdominal distension	Distensión abdominal
Abdominal mass	Masa abdominal
Abdominal pain	Dolor abdominal
Abdominal pain lower	Dolor en la zona inferior del abdomen
Abdominal pain upper	Dolor en la zona superior del abdomen
Abdominal rigidity	Rigidez abdominal
Abdominal sinus repair	Intervención de cavitación abdominal
Abdominal tenderness	Dolor a la palpación abdominal
Abdominal transposition	Transposición abdominal
Abdominal wall abscess	Absceso de la pared abdominal
Abducent nerve operation	Cirugía del nervio motor ocular externo
Abdominal wall anomaly	Anomalía de la pared abdominal
Abnormal dreams	Sueños anormales
Abnormal faeces	Heces anormales
Abnormal labour	Parto distócico
Abnormal labour affecting foetus	Parto distócico con afectación del feto
Abnormal loss of weight	Pérdida anormal de peso
Abnormal palmar/plantar creases	Surcos palmares/plantares anormales
Abnormal sensation in eye	Sensación anormal en el ojo
Abnormal weight gain	Aumento anormal de peso
ABO haemolytic disease of newborn	Enfermedad hemolítica ABO del recién nacido
ABO incompatibility	Incompatibilidad ABO
Aborted pregnancy	Embarazo abortado
Abortion	Aborto
Abortion complete complicated	Aborto completo complicado
Abortion incomplete	Aborto incompleto
Abortion incomplete complicated	Aborto incompleto complicado
Abortion induced	Aborto inducido
Abortion induced complete complicated	Aborto inducido completo complicado
Abortion induced incomplete complicated	Aborto inducido incompleto complicado
Abortion induced complicated	Aborto inducido complicado
Abortion infected	Aborto infectado
Abortion spontaneous	Aborto espontáneo
Abortion missed	Aborto diferido
Abortion spontaneous complete complicated	Aborto espontáneo completo complicado
Abortion spontaneous complicated	Aborto espontáneo complicado
Abortion threatened	Amenaza de aborto
Abortion spontaneous incomplete complicated	Aborto espontáneo incompleto complicado
Abscess	Absceso
Abscess drainage	Drenaje de absceso
Abscess bacterial	Absceso bacteriano
Abscess intestinal	Absceso intestinal
Abscess of eyelid	Absceso del párpado
Abscess of external auditory meatus	Absceso del meato auditivo externo
Abscess of salivary gland	Absceso de glándula salival
Abscess oral	Absceso oral
Abscess sweat gland	Absceso de glándula sudorípara
Abstains from alcohol	Abstención del alcohol
Acanthosis	Acantosis
Acalculia	Acalculia
Acanthosis nigricans	Acanthosis nigricans
Acariasis	Acariosis
