Source Term	Target Term
1,5-anhydro-D-glucitol	1,5-anhidro-D-glucitol
1-benzylimidazole	1-Benzylimidazole
1-carboxymethyl-4-methyl piperazine	1-carboximetil-4-metil-piperazina
1-fold standard deviation	desvío estándar de una iteración
1-methylbiguanide	1-metilbiguanida
1-Heptan sulfonic acid-Na-salt-anhydrous (research grade)	ácido 1-heptanosulfónico sal sódica anhidro (grado de investigación)
10% neutral buffered formaldehyde solution	solución buffer neutra al 10% de formaldehído
100% check-weighing equipment	Control del 100% de los equipos para pesar
13-portal-ECM.htm	RMP_Praxbind_V1.0_S0001880501
12-lead ECG	ECG de 12 derivaciones
12-lead resting ECG	ECG de 12 derivaciones en reposo
13C-NMR	RMN-13C
134a-propellant	propelente 134a
14C	14C
14C Human ADME	estudio ADME con 14C en humanos
14C dose	dosis de 14C
14C-Ultima Gold Packard sealed standards	estándares sellados 14C-Ultima Gold Packard
16th amino acid position	aminoácidos en posición 16
1701 primera parte	3 de 3
1D rod motif	motivo cilíndrico 1D
1H	1H
1st generation spray layering process in a rotating pan coater	proceso de recubrimiento de 1ra generación por pulverización en platillo rotatorio
1H-NMR	RMN-1H
2-(4-Methoxyphenyl)-1,1-dimethylethylamine hydrochloride	clorhidrato de 2-(4-metoxifenil)-1,1-dimetiletilamina
2- chloro nicotinic acid	ácido 2 cloronicotínico
2-Aminoanthracene	2-aminoantraceno
2-aminoanthracine	2-aminoantraceno
2-buteneamide	2-butenamida
2-butenedioate	ácido cis-butenodioico
2-methyl THF	2-metiltetrahidrofurano
2-Chloro-nicotinoyl chloride	cloruro de 2-cloro-nicotinoílo
2-hour post-prandial glucose	glucemia 2 horas postprandial
2-nitrofluorene	2-nitrofluoreno
2-oxoglutarate	2-oxoglutarato
2-Methyltetrahydrofuran	2-Metiltetrahidrofurano
2-pyrrolidone	2-pirrolidona
2-propyl ethanesulfonate	ácido 2-propil etanosulfónico
2-trimethylammonio ethyl	2-(trimetilamonio)etilo
2-way	dos vías
2-sided	bilateral
2-sided 95% confidence interval	intervalo de confianza del 95% bilateral
20_CT.php	Legacy Clinical Study Report_U08102303 pag 10-21
24-hour FEV1 time profile	perfil de tiempo de 24 horas del VEF1
20adenoma&amp;sourceLanguage=en&amp;domain=0&amp;matching=&amp;start=0&amp;next=1&amp;targetLanguages=es	BI Empagliflozin - 233-250
2H-1,4-Benzoxazin-3H(4H)-one, 6-hydroxy-8-[(1R)-1-hydroxy-2-[[2-(4-methoxyphenyl)-1,1-dimethylethyl]-amino]ethyl]-, monohydrochloride	monoclorhidrato de 2H-1,4 benzoxazina-3H(4H)-ona, 6-hidroxi-8-[(1R)-1-hidroxi-2-[[2-(4-metoxifenil)-1,1-dimetiletil]-amino]etil]
25-OH vitamin D	vitamina D 25-hidroxi
24-h emergency helpline	línea de emergencia las de 24 horas
25-OH-cholecalciferol	25-hidroxicolecalciferol
2nd generation B3 synthesis	síntesis B3 de 2da generación
3 point MACE	ECVG (3 puntos)
3-Chloro-4-fluoroaniline	3-cloro-4-fluoroanilina
3-cyanopiridine	3-cianopiridina
3-ply	trilaminado
"3%ADndrome+coronario+agudo%22&amp;hl=es&amp;sa=X&amp;ei=kYmaUei4HOay0AGovYHwBA&amp;redir_esc=y#v=onepage&amp;q=%22s%C3%ADndrome%20coronario%20agudo%22&amp;f=false"""	sVTEt &amp; VTEp_Clin sum_Sum of clin safety_U12261701
3-kinase	fosfatidilinositol (PI) 3 -cinasa
"3689.pdf?sequence=1; http://www.cybertesis.cl/tesis/uchile/2007/kosche_j/sources/kosche_j.pdf"""	Research Report_0302(8810241)_U021083.pdf
4-aminoantipyrine	4-aminoantipirina
3pMACE	eventos cardiovasculares graves (3 puntos)
4-amino-6-chlorobenzene-1,3-disulfonamide	4-amino-6-clorobenceno-1,3-disulfonamida
3-way	3 vías
3PMU	fabricante tercerista
4-OH-CTA	4-hidroxi-crotonaldehído
4-Nitroquinoline-N-oxide	4-nitroquinolina--N-óxido
4-stage verbal rating scale	escala verbal simple de 4 grados
4-dimethylaminoantipyrine	4-dimetilaminoantipirina
4-parameter logistic function	función logística de 4 parámetros
4-hydroxyantipyrine	4-hidroxiantipirina
4-aminophenol	4-aminofenol
4-OH crotonaldehyde	4-hidroxi-crotonaldehído
5 mL OPC ampoule	Actilyse Lyophilisate 83945_P710_AL0102_A142859
9 - No. 5 (300-310)	3 de 3
70386&amp;langId=&amp;query=screening&amp;sourceLanguage=en&amp;domain=36&amp;matching=&amp;start=0&amp;next=1&amp;targetLanguages=es ver pre-bronchodilator screening pulmonary function	86845_Clinical Summary_Sum Clin Efficacy_U12324301.pdf Olodaterol
"5""-diphosphoglucuronosyltransferase"	"uridin-5""-difosfato-glucuronosiltransferasa"
5-OH-omeprazole	5-OH-omeprazol
50% Effective concentration	concentración eficaz al 50%
90%... http://www.fca.unl.edu.ar/InferEst/TestHipot1.htm	Clin Trial Report_205418_U12246601_págs 83 a 106
81cido_capr%C3%ADlico	Faldaprevir_QOS_U13394701
:/Documents%20and%20Settings/guille/Mis%20documentos/Downloads/MANEJO%20TERAP%C3%89UTICO%20DEL%20PACIENTE%20ADULTO%20NEUTROP%C3%89NICO%20FEBRIL%20Y%20AFEBRIL.pdf	Clinical trial report_Final OS Analysis_119913_U13150401 (367-375)
=1&amp;targetLanguages=es // Entrada K81 http://www.biblioteca.anm.edu.ar/cie11.htm	BI empagliflozina 92-110
"://es.wikipedia.org/wiki/Efecto_citop%C3%A1tico"""	Sp-2487432_S231_BBIOAL0301_Q0020527501 - pags 17-27
": MCB; http://www.anmat.gov.ar/webanmat/fna/flip_pages/Farmacopea_Vol_III/files/assets/basic-html/page689.html"""	"""2487432_S23ets/basic-html/page689.html"""""""
: TIM-1 (ng/mg) // http://www.scielo.cl/scielo.php?script=sci_arttext&amp;pid=S0034-98872005001000007	Nonclin sum_Toxicol tabul sum_U13502701 sección 17
?-butyrolactone	?-butirolactona
=en&amp;domain=0&amp;matching=&amp;start=0&amp;next=1&amp;targetLanguages=es	BI Empagliflozin - 192 a 227
?-conotoxin MVIIC	?-conotoxina MVIIC
?-blocker	? bloqueante
"=4&amp;hl=es&amp;ct=clnk&amp;gl=ar / http://www.bioterios.com/2013/post.php?s=2013-11-10-cmo-hacer-tus-propias-tarjetas"""	U04-1066 --pre-clinical-study-report
?-1 and ? -2 microglobulins	microglobulinas ?-1 y ? -2
?-cell	célula beta
?- Tocopheryl acetate	alfa-tocoferil acetato
?-globulin	gama globulina
?-GT	GGT
?2-adrenergic receptor	receptor adrenérgico ?2
?2-adrenergic agonists	agonistas ?2 adrenérgicos
?-N-acetylglucosaminidase	?-N-acetilglucosaminidasa
?-Tocopheryl acetate	?-tocoferil acetato
?l	?l
?2µ -globulin	?2µ-globulina
[14C] ciclesonide isobutyrate	ciclesonida isobutirato marcada con carbono 14
?l-scale	escala ?l
[14C]Olodaterol	Olodaterol marcado con carbono 14
[14C]-mannose	[14C]-manosa
[[(3S)-tetrahidro-3-furanyl]oxy	[[(3S)-tetrahidro-3-furanil]oxi
[D3]tiotropium	[D3]tiotropio
[3H]-labelled empagli?ozin	[3H]-empagliflozina
[14C]-myo-inositol	[14C]-mioinositol
[14C] Olodaterol	Olodaterol marcado con carbono 14
[14C]-alpha-methyl glucopyranoside	[14C]-alfa-metil-glucopiranósido
a.org/wiki/Maltitol	CoA_Sorbitol_118692_signed
A. carotis	arteria carótida
A-V - atrio-ventricular	A-V - aurículoventricular
[fT3]	T3L
A/G ratio	cociente A/G
A/D converter	convertidor A/D
AAA	aneurisma aórtico abdominal
A.	A.
[fT4]	T4L
abdominal girth	perímetro abdominal
abdominal pain upper	dolor en la zona superior del abdomen
abacus	abaque*
abdominal artery	aorta abdominal
abdominal aortic aneurysm	aneurisma aórtico abdominal
AAS	AAS
Aaron	Aaron
ABC	ABC
abdominal disorders	trastorno abdominal
abl	ABL
abdominal viscera	vísceras abdominales
ABI	ITB
abnormal gait	marcha anormal
"abla """"Mean % MN-PCE ± SD"""" MN-PCE: micronúcleos en eritrocitos policromatófilos http://www.finlay.sld.cu/publicaciones/vaccimonitor/Vm2011/a5.pdf"""	Faldaprevir_Nonclin sum_Toxic tab sum_U13358402_--61-81
abdominal tenderness	dolor con la palpación abdominal
aberration rate	porcentaje de aberración
abdominal wall	pared abdominal
absolute bioavailability	biodisponibilidad absoluta
absolute neutrophil count	recuento absoluto de neutrófilos
absolute structure	estructura absoluta
abnormal stance	postura de piernas anormal
ABPM	MAPA
absorption trial	estudio de absorción
ABS	abs
Abridged Product Information	Información abreviada del producto
absorption, distribution, metabolism, excretion	absorción, distribución, metabolismo, eliminación
Absorption unit	unidad de absorbancia
AC	AC
Academic Research Consortium	consorcio de investigación académica
accelerated and long-term stability studies	estudios de estabilidad en condiciones aceleradas y a largo plazo
AC	ACE
abuse potential	potencial adictivo
accelerated hipertension	hipertensión acelerada
acceptable quality limit	nivel de calidad aceptable
ACCORD	ACCORD
Acceptable Quality Levels	Niveles aceptables de calidad
accidental overdose	sobredosis accidental
acceptance criteria	criterios de aceptación
acceptor chamber	cámara aceptora
accession	acceso
acclimatisation	aclimatación
accumulation factor	factor de acumulación
acepin	acepina
acetaminophen	acetaminofeno
ACD	ACD
accurately weight	pesar con precisión
acesulfame potassium	acesulfamo potásico
acentric chromatid	cromátide acéntrica
acetanilide	acetanilida
ACEi	IECA
acentric fragment	fragmento acéntrico
ACE	ECA
acetonitrile	acetonitrilo
acetylcholinesterase	acetilcolinesterasa
acetylsalicylic acid	ácido acetilsalicílico
acetic anhydride	anhídrido acético
AChR	AChR
acetone	acetona
achromicity	acromicidad
acetic acid glacial	Ácido acético glacial
acetonnitrile	acetonitrilo
acetylacetamide	acetilacetamida
